f.130000.0.0	Source of report of A00 (cholera)
f.130002.0.0	Source of report of A01 (typhoid and paratyphoid fevers)
f.130004.0.0	Source of report of A02 (other salmonella infections)
f.130006.0.0	Source of report of A03 (shigellosis)
f.130008.0.0	Source of report of A04 (other bacterial intestinal infections)
f.130010.0.0	Source of report of A05 (other bacterial foodborne intoxications)
f.130012.0.0	Source of report of A06 (amoebiasis)
f.130014.0.0	Source of report of A07 (other protozoal intestinal diseases)
f.130016.0.0	Source of report of A08 (viral and other specified intestinal infections)
f.130018.0.0	Source of report of A09 (diarrhoea and gastro-enteritis of presumed infectious origin)
f.130020.0.0	"Source of report of A15 (respiratory tuberculosis, bacteriologically and histologically confirmed)"
f.130022.0.0	"Source of report of A16 (respiratory tuberculosis, not confirmed bacteriologically or histologically)"
f.130024.0.0	Source of report of A17 (tuberculosis of nervous system)
f.130026.0.0	Source of report of A18 (tuberculosis of other organs)
f.130028.0.0	Source of report of A19 (miliary tuberculosis)
f.130030.0.0	Source of report of A20 (plague)
f.130034.0.0	Source of report of A22 (anthrax)
f.130036.0.0	Source of report of A23 (brucellosis)
f.130038.0.0	Source of report of A24 (glanders and melioidosis)
f.130040.0.0	Source of report of A25 (rat-bite fevers)
f.130042.0.0	Source of report of A26 (erysipeloid)
f.130044.0.0	Source of report of A27 (leptospirosis)
f.130046.0.0	"Source of report of A28 (other zoonotic bacterial diseases, not elsewhere classified)"
f.130048.0.0	Source of report of A30 (leprosy [hansen's disease])
f.130050.0.0	Source of report of A31 (infection due to other mycobacteria)
f.130052.0.0	Source of report of A32 (listeriosis)
f.130054.0.0	Source of report of A33 (tetanus neonatorum)
f.130058.0.0	Source of report of A35 (other tetanus)
f.130060.0.0	Source of report of A36 (diphtheria)
f.130062.0.0	Source of report of A37 (whooping cough)
f.130064.0.0	Source of report of A38 (scarlet fever)
f.130066.0.0	Source of report of A39 (meningococcal infection)
f.130068.0.0	Source of report of A40 (streptococcal septicaemia)
f.130070.0.0	Source of report of A41 (other septicaemia)
f.130072.0.0	Source of report of A42 (actinomycosis)
f.130074.0.0	Source of report of A43 (nocardiosis)
f.130076.0.0	Source of report of A44 (bartonellosis)
f.130078.0.0	Source of report of A46 (erysipelas)
f.130080.0.0	"Source of report of A48 (other bacterial diseases, not elsewhere classified)"
f.130082.0.0	Source of report of A49 (bacterial infection of unspecified site)
f.130084.0.0	Source of report of A50 (congenital syphilis)
f.130086.0.0	Source of report of A51 (early syphilis)
f.130088.0.0	Source of report of A52 (late syphilis)
f.130090.0.0	Source of report of A53 (other and unspecified syphilis)
f.130092.0.0	Source of report of A54 (gonococcal infection)
f.130094.0.0	Source of report of A55 (chlamydial lymphogranuloma (venereum))
f.130096.0.0	Source of report of A56 (other sexually transmitted chlamydial diseases)
f.130100.0.0	Source of report of A58 (granuloma inguinale)
f.130102.0.0	Source of report of A59 (trichomoniasis)
f.130104.0.0	Source of report of A60 (anogenital herpesviral [herpes simplex] infections)
f.130106.0.0	"Source of report of A63 (other predominantly sexually transmitted diseases, not elsewhere classified)"
f.130108.0.0	Source of report of A64 (unspecified sexually transmitted disease)
f.130112.0.0	Source of report of A66 (yaws)
f.130114.0.0	Source of report of A67 (pinta [carate])
f.130116.0.0	Source of report of A68 (relapsing fevers)
f.130118.0.0	Source of report of A69 (other spirochaetal infections)
f.130120.0.0	Source of report of A70 (chlamydia psittaci infection)
f.130122.0.0	Source of report of A71 (trachoma)
f.130124.0.0	Source of report of A74 (other diseases caused by chlamydiae)
f.130126.0.0	Source of report of A75 (typhus fever)
f.130128.0.0	Source of report of A77 (spotted fever [tick-borne rickettsioses])
f.130130.0.0	Source of report of A78 (q fever)
f.130132.0.0	Source of report of A79 (other rickettsioses)
f.130134.0.0	Source of report of A80 (acute poliomyelitis)
f.130136.0.0	Source of report of A81 (atypical virus infections of central nervous system)
f.130138.0.0	Source of report of A82 (rabies)
f.130140.0.0	Source of report of A83 (mosquito-borne viral encephalitis)
f.130142.0.0	Source of report of A84 (tick-borne viral encephalitis)
f.130144.0.0	"Source of report of A85 (other viral encephalitis, not elsewhere classified)"
f.130146.0.0	Source of report of A86 (unspecified viral encephalitis)
f.130148.0.0	Source of report of A87 (viral meningitis)
f.130150.0.0	"Source of report of A88 (other viral infections of central nervous system, not elsewhere classified)"
f.130152.0.0	Source of report of A89 (unspecified viral infection of central nervous system)
f.130154.0.0	Source of report of A90 (dengue fever [classical dengue])
f.130156.0.0	Source of report of A91 (dengue haemorrhagic fever)
f.130158.0.0	Source of report of A92 (other mosquito-borne viral fevers)
f.130160.0.0	"Source of report of A93 (other arthropod-borne viral fevers, not elsewhere classified)"
f.130162.0.0	Source of report of A94 (unspecified arthropod-borne viral fever)
f.130164.0.0	Source of report of A95 (yellow fever)
f.130168.0.0	Source of report of A97 (dengue)
f.130170.0.0	"Source of report of A98 (other viral haemorrhagic fevers, not elsewhere classified)"
f.130174.0.0	Source of report of B00 (herpesviral [herpes simplex] infections)
f.130176.0.0	Source of report of B01 (varicella [chickenpox])
